catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,310.360,295.408,24.034,25.248,3.465,0.017,0.000,0.017,12.333,354.353,-43.993,239.281,195.287,0.703,0.356,0.187,0.265,0.225,0.000,0.000,0.000,0.225,0.002,0.228,0.474,0.004,0.000,0.000,0.004,0.002,0.002,0.416,0.003,-0.003,0.396,144.687,60.318,2001.500
1,342.982,291.186,28.075,29.468,3.705,0.009,0.000,0.009,-37.143,383.328,-40.346,235.861,195.515,0.704,0.395,0.225,0.279,0.201,0.000,0.000,0.000,0.201,0.002,0.203,0.428,0.004,0.000,0.000,0.004,0.002,0.002,0.386,0.003,-0.003,0.210,76.760,1.354,2001.500
2,340.153,290.936,27.269,29.875,3.657,0.012,0.000,0.012,18.737,379.160,-39.006,235.658,196.652,0.708,0.388,0.217,0.278,0.207,0.000,0.000,0.000,0.207,0.004,0.211,0.490,0.006,0.000,0.001,0.005,0.004,0.007,0.511,0.005,-0.005,0.287,104.577,25.614,2001.500
3,338.197,287.663,27.391,28.776,3.441,0.012,0.000,0.012,18.441,377.673,-39.476,233.007,193.531,0.697,0.379,0.219,0.274,0.457,0.000,0.000,0.000,0.457,0.029,0.451,1.217,0.031,0.004,0.015,0.012,0.029,0.067,1.198,0.031,0.006,0.287,104.820,-71.029,2001.500
4,318.187,288.688,25.193,25.257,3.160,0.017,0.000,0.017,15.157,361.077,-42.890,233.837,190.948,0.687,0.353,0.198,0.263,0.203,0.000,0.000,0.000,0.203,0.007,0.227,0.640,0.014,0.001,0.004,0.009,0.006,0.018,0.919,0.014,-0.024,0.412,150.549,62.688,2001.500
5,338.979,289.523,27.177,29.292,3.528,0.013,0.000,0.013,18.609,378.543,-39.565,234.514,194.949,0.702,0.382,0.217,0.275,0.413,0.000,0.000,0.000,0.413,0.010,0.413,0.911,0.011,0.000,0.003,0.007,0.010,0.017,0.734,0.010,-0.000,0.305,111.237,-43.091,2001.500
6,342.727,291.040,27.982,29.765,3.737,0.009,0.000,0.009,-48.143,383.199,-40.472,235.743,195.270,0.703,0.394,0.224,0.278,0.129,0.000,0.000,0.000,0.129,0.001,0.133,0.275,0.003,0.000,0.000,0.003,0.001,0.001,0.294,0.001,-0.005,0.216,78.766,29.519,2001.500
7,341.527,290.904,27.609,29.918,3.678,0.011,0.000,0.011,18.911,380.002,-38.475,235.632,197.157,0.710,0.391,0.221,0.280,0.285,0.000,0.000,0.000,0.285,0.007,0.290,0.699,0.009,0.000,0.002,0.007,0.007,0.013,0.664,0.008,-0.005,0.253,92.317,-16.789,2001.500
8,341.299,290.883,27.536,29.914,3.661,0.011,0.000,0.011,18.897,379.947,-38.648,235.616,196.967,0.709,0.390,0.220,0.279,0.207,0.000,0.000,0.000,0.207,0.004,0.211,0.490,0.006,0.000,0.001,0.005,0.004,0.007,0.511,0.005,-0.005,0.260,94.818,15.855,2001.500
9,341.009,290.790,27.590,30.342,3.856,0.010,0.000,0.010,10.750,379.320,-38.311,235.540,197.229,0.710,0.395,0.220,0.280,0.141,0.000,0.000,0.000,0.141,0.001,0.146,0.294,0.003,0.000,0.000,0.003,0.001,0.001,0.294,0.002,-0.005,0.233,84.958,31.023,2001.500
