catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,270.165,189.308,13.914,43.638,2.618,0.018,0.000,0.017,9.038,331.255,-61.089,153.340,92.250,0.332,0.147,0.106,0.105,0.143,0.000,0.000,0.000,0.143,0.004,0.152,0.862,0.006,0.000,0.001,0.006,0.004,0.004,0.554,0.006,-0.009,0.421,153.746,96.283,2030.005
1,310.333,183.554,19.303,55.438,2.398,0.010,0.000,0.010,15.663,363.112,-52.779,148.679,95.900,0.345,0.155,0.141,0.121,0.228,0.000,0.000,0.000,0.228,0.014,0.228,1.295,0.013,0.000,0.007,0.006,0.014,0.031,0.581,0.012,-0.000,0.248,90.697,2.999,2030.005
2,307.104,181.356,18.661,57.952,2.461,0.014,0.000,0.014,14.994,359.770,-52.666,146.898,94.232,0.339,0.148,0.136,0.117,0.265,0.000,0.000,0.000,0.265,0.020,0.261,1.545,0.018,0.002,0.009,0.007,0.019,0.041,0.680,0.017,0.004,0.326,118.935,17.529,2030.005
3,302.351,179.071,18.344,53.801,2.319,0.013,0.000,0.013,14.257,356.233,-53.882,145.047,91.165,0.328,0.148,0.134,0.113,0.459,0.000,0.000,0.000,0.459,0.046,0.436,2.690,0.044,0.013,0.019,0.012,0.040,0.085,1.201,0.044,0.023,0.316,115.478,-59.782,2030.005
4,278.430,182.390,15.119,45.629,2.341,0.018,0.000,0.018,10.337,337.351,-58.921,147.736,88.815,0.320,0.143,0.113,0.103,0.398,0.000,0.001,0.000,0.398,0.020,0.403,2.594,0.016,0.001,0.008,0.006,0.020,0.042,0.640,0.015,-0.005,0.423,154.348,1.696,2030.005
5,304.821,179.829,18.385,56.865,2.399,0.014,0.000,0.014,14.579,357.735,-52.913,145.661,92.748,0.334,0.146,0.134,0.115,0.308,0.000,0.000,0.000,0.308,0.021,0.306,1.682,0.023,0.003,0.011,0.009,0.021,0.049,0.873,0.023,0.002,0.346,126.343,6.253,2030.005
6,310.106,183.242,19.279,55.945,2.446,0.010,0.000,0.010,15.637,362.978,-52.872,148.426,95.554,0.344,0.155,0.140,0.120,0.159,0.000,0.000,0.000,0.159,0.007,0.173,1.005,0.009,0.000,0.004,0.005,0.007,0.017,0.462,0.007,-0.014,0.251,91.689,25.704,2030.005
7,308.731,182.088,18.979,57.292,2.446,0.012,0.000,0.012,15.341,361.495,-52.765,147.491,94.727,0.341,0.151,0.138,0.119,0.289,0.000,0.000,0.000,0.289,0.024,0.282,1.742,0.022,0.003,0.011,0.008,0.023,0.049,0.756,0.021,0.007,0.291,106.276,-4.382,2030.005
8,308.482,181.830,18.924,57.496,2.443,0.012,0.000,0.012,15.283,361.204,-52.723,147.283,94.560,0.340,0.150,0.138,0.118,0.265,0.000,0.000,0.000,0.265,0.020,0.261,1.545,0.018,0.002,0.009,0.007,0.019,0.041,0.680,0.017,0.004,0.299,109.119,7.714,2030.005
9,308.583,182.428,19.059,57.004,2.545,0.011,0.000,0.011,15.381,361.690,-53.107,147.767,94.660,0.341,0.154,0.139,0.119,0.158,0.000,0.000,0.000,0.158,0.007,0.172,0.982,0.008,0.000,0.004,0.005,0.007,0.016,0.454,0.007,-0.014,0.261,95.276,29.861,2030.005
10,300.048,180.394,17.697,56.248,2.465,0.016,0.000,0.016,13.666,353.263,-53.215,146.119,92.904,0.334,0.146,0.129,0.114,0.374,0.000,0.000,0.000,0.374,0.027,0.372,2.511,0.029,0.005,0.012,0.012,0.024,0.055,1.150,0.029,0.002,0.379,138.279,-7.848,2030.005
11,305.149,180.717,18.298,58.573,2.505,0.015,0.000,0.015,14.593,357.777,-52.628,146.381,93.753,0.338,0.146,0.133,0.116,0.168,0.000,0.000,0.000,0.168,0.008,0.182,1.082,0.009,0.000,0.004,0.005,0.008,0.018,0.489,0.008,-0.014,0.360,131.230,62.025,2030.005
12,279.907,176.159,14.269,50.469,2.395,0.023,0.001,0.022,9.805,335.136,-55.229,142.689,87.460,0.315,0.132,0.109,0.100,0.376,0.152,1.310,0.152,0.528,0.055,0.507,5.239,0.049,0.009,0.027,0.014,0.052,0.120,1.419,0.050,-0.131,0.553,201.717,-1.441,2030.005
13,297.994,179.108,17.354,54.651,2.338,0.017,0.000,0.017,13.288,351.473,-53.479,145.077,91.599,0.330,0.143,0.127,0.111,0.401,0.000,0.000,0.000,0.401,0.032,0.387,2.072,0.034,0.007,0.015,0.012,0.026,0.068,1.235,0.034,0.014,0.410,149.593,-4.017,2030.005
14,301.322,179.919,17.585,59.135,2.568,0.017,0.000,0.017,13.798,353.856,-52.534,145.734,93.201,0.336,0.143,0.128,0.114,0.361,0.000,0.000,0.000,0.361,0.033,0.351,2.336,0.032,0.010,0.013,0.009,0.028,0.060,0.890,0.032,0.010,0.401,146.417,6.629,2030.005
15,301.723,179.981,17.653,59.077,2.559,0.017,0.000,0.017,13.877,354.247,-52.524,145.785,93.261,0.336,0.143,0.129,0.114,0.361,0.000,0.000,0.000,0.361,0.033,0.351,2.336,0.032,0.010,0.013,0.009,0.028,0.060,0.890,0.032,0.010,0.399,145.579,5.791,2030.005
