catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,318.512,226.689,23.811,31.742,2.397,0.015,0.000,0.015,19.732,384.713,-66.202,183.618,117.416,0.423,0.238,0.182,0.160,0.292,0.000,0.000,0.000,0.292,0.044,0.245,1.168,0.043,0.022,0.015,0.006,0.042,0.065,0.636,0.041,0.046,0.357,130.140,25.457,2030.000
1,365.199,214.526,26.768,43.175,2.437,0.013,0.000,0.013,24.165,408.045,-42.845,173.766,130.921,0.471,0.244,0.209,0.185,0.213,0.000,0.000,0.000,0.213,0.021,0.184,0.978,0.020,0.006,0.010,0.004,0.017,0.045,0.415,0.019,0.029,0.316,115.363,41.287,2030.000
2,361.960,214.254,26.194,43.113,2.401,0.014,0.000,0.014,23.538,404.648,-42.688,173.545,130.857,0.471,0.241,0.203,0.184,0.239,0.000,0.000,0.000,0.239,0.027,0.202,1.109,0.025,0.008,0.012,0.005,0.023,0.054,0.502,0.024,0.036,0.330,120.279,37.653,2030.000
3,356.996,212.000,26.343,40.900,2.257,0.015,0.000,0.015,23.499,404.537,-47.542,171.720,124.178,0.447,0.234,0.205,0.175,0.323,0.000,0.000,0.000,0.323,0.029,0.286,1.338,0.030,0.007,0.013,0.011,0.029,0.059,1.050,0.030,0.037,0.349,127.551,12.214,2030.000
4,329.024,218.354,24.753,33.439,2.140,0.016,0.000,0.016,21.031,391.534,-62.510,176.866,114.357,0.412,0.227,0.191,0.158,0.137,0.000,0.000,0.000,0.137,0.011,0.105,0.744,0.010,0.002,0.005,0.002,0.011,0.025,0.220,0.008,0.032,0.387,141.176,99.832,2030.000
5,359.595,213.264,26.173,42.050,2.316,0.014,0.000,0.014,23.456,404.245,-44.649,172.744,128.094,0.461,0.237,0.203,0.180,0.290,0.000,0.000,0.000,0.290,0.014,0.275,1.007,0.017,0.001,0.006,0.010,0.014,0.031,0.951,0.017,0.015,0.341,124.462,17.961,2030.000
6,364.511,214.273,26.691,43.458,2.481,0.013,0.000,0.013,24.049,407.396,-42.885,173.561,130.676,0.470,0.244,0.208,0.185,0.184,0.000,0.000,0.000,0.184,0.011,0.163,0.803,0.010,0.001,0.005,0.004,0.011,0.025,0.381,0.009,0.022,0.312,114.029,51.356,2030.000
7,363.207,214.147,26.431,43.386,2.427,0.013,0.000,0.013,23.791,405.999,-42.792,173.459,130.667,0.470,0.242,0.205,0.184,0.258,0.000,0.000,0.000,0.258,0.030,0.217,1.201,0.029,0.010,0.013,0.006,0.030,0.060,0.569,0.028,0.041,0.322,117.373,28.086,2030.000
8,363.001,214.096,26.386,43.348,2.415,0.013,0.000,0.013,23.747,405.764,-42.764,173.418,130.654,0.470,0.241,0.205,0.184,0.239,0.000,0.000,0.000,0.239,0.027,0.202,1.109,0.025,0.008,0.012,0.005,0.023,0.054,0.502,0.024,0.036,0.322,117.670,35.044,2030.000
9,362.516,213.609,26.395,44.035,2.582,0.013,0.000,0.013,23.642,405.169,-42.653,173.023,130.370,0.469,0.244,0.205,0.183,0.185,0.000,0.000,0.000,0.185,0.011,0.164,0.791,0.010,0.001,0.005,0.004,0.011,0.024,0.372,0.008,0.021,0.307,112.124,49.101,2030.000
10,356.996,213.047,25.989,42.586,2.468,0.015,0.000,0.015,23.042,402.086,-45.090,172.568,127.478,0.459,0.239,0.202,0.179,0.306,0.000,0.000,0.000,0.306,0.011,0.293,1.219,0.018,0.000,0.004,0.014,0.011,0.023,1.406,0.019,0.012,0.371,135.479,21.643,2030.000
11,360.341,214.380,25.916,42.932,2.407,0.014,0.000,0.014,23.213,402.907,-42.566,173.648,131.082,0.472,0.241,0.200,0.184,0.197,0.000,0.000,0.000,0.197,0.012,0.175,0.857,0.011,0.001,0.005,0.004,0.012,0.027,0.403,0.009,0.022,0.337,123.016,55.842,2030.000
12,331.178,214.829,23.882,35.729,2.176,0.016,0.000,0.016,20.300,387.971,-56.794,174.012,117.218,0.422,0.222,0.184,0.160,0.265,0.000,0.000,0.000,0.265,0.023,0.214,1.685,0.026,0.005,0.010,0.011,0.023,0.044,1.100,0.026,0.051,0.382,139.463,51.789,2030.000
13,352.574,214.016,25.842,39.839,2.202,0.015,0.000,0.015,22.926,401.511,-48.937,173.353,124.416,0.448,0.232,0.200,0.174,0.381,0.000,0.000,0.000,0.381,0.023,0.359,1.297,0.027,0.003,0.010,0.014,0.022,0.049,1.421,0.028,0.021,0.363,132.387,-8.763,2030.000
14,357.579,214.527,25.468,42.629,2.428,0.015,0.000,0.015,22.676,400.056,-42.477,173.767,131.290,0.473,0.240,0.196,0.183,0.256,0.000,0.000,0.000,0.256,0.021,0.223,1.115,0.021,0.005,0.009,0.007,0.021,0.043,0.710,0.020,0.033,0.350,127.612,38.915,2030.000
15,357.857,214.546,25.514,42.620,2.422,0.015,0.000,0.015,22.734,400.364,-42.508,173.782,131.274,0.473,0.240,0.196,0.183,0.256,0.000,0.000,0.000,0.256,0.021,0.223,1.115,0.021,0.005,0.009,0.007,0.021,0.043,0.710,0.020,0.033,0.349,127.252,38.555,2030.000
