catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,321.293,246.186,23.003,33.299,2.707,0.018,0.000,0.018,19.226,383.069,-61.776,199.410,137.635,0.495,0.259,0.180,0.186,0.262,0.000,0.000,0.000,0.262,0.018,0.249,0.879,0.018,0.006,0.006,0.005,0.017,0.029,0.492,0.017,0.013,0.432,157.690,60.855,
1,368.482,236.655,26.361,44.076,2.899,0.012,0.000,0.012,24.051,408.220,-39.738,191.690,151.952,0.547,0.276,0.209,0.215,0.237,0.000,0.000,0.000,0.237,0.016,0.225,0.887,0.016,0.005,0.007,0.005,0.016,0.032,0.475,0.016,0.012,0.299,109.042,21.332,
2,366.043,235.912,25.897,44.095,2.834,0.015,0.000,0.015,23.588,405.799,-39.756,191.089,151.332,0.545,0.272,0.205,0.213,0.275,0.000,0.000,0.000,0.275,0.021,0.259,1.024,0.021,0.006,0.008,0.006,0.020,0.039,0.570,0.020,0.016,0.354,129.100,27.381,
3,359.898,233.382,25.872,41.928,2.653,0.016,0.000,0.016,23.293,404.327,-44.429,189.040,144.611,0.521,0.263,0.205,0.203,0.474,0.000,0.000,0.000,0.474,0.038,0.440,1.656,0.038,0.012,0.014,0.011,0.037,0.067,1.120,0.037,0.033,0.373,136.161,-38.158,
4,331.973,238.362,24.033,34.738,2.437,0.020,0.000,0.020,20.591,390.270,-58.296,193.073,134.777,0.485,0.251,0.190,0.185,0.221,0.000,0.000,0.000,0.221,0.011,0.215,1.102,0.011,0.001,0.005,0.005,0.011,0.024,0.499,0.010,0.006,0.470,171.689,89.637,
5,363.491,234.710,25.836,43.077,2.721,0.016,0.000,0.016,23.459,405.191,-41.699,190.115,148.416,0.534,0.268,0.204,0.209,0.425,0.000,0.000,0.000,0.425,0.022,0.408,1.269,0.022,0.003,0.010,0.009,0.022,0.046,0.902,0.022,0.018,0.379,138.385,-18.343,
6,367.359,236.360,26.298,44.327,2.945,0.012,0.000,0.012,23.953,407.660,-40.301,191.452,151.151,0.544,0.275,0.208,0.214,0.197,0.000,0.000,0.000,0.197,0.008,0.193,0.706,0.008,0.000,0.004,0.004,0.008,0.018,0.399,0.007,0.004,0.299,109.060,35.976,
7,366.585,235.977,26.094,44.313,2.871,0.014,0.000,0.014,23.778,406.766,-40.181,191.141,150.960,0.543,0.273,0.206,0.213,0.304,0.000,0.000,0.000,0.304,0.024,0.285,1.133,0.024,0.007,0.010,0.007,0.024,0.045,0.644,0.023,0.019,0.327,119.480,7.061,
8,366.605,235.899,26.058,44.277,2.853,0.014,0.000,0.014,23.750,406.626,-40.021,191.078,151.057,0.544,0.273,0.206,0.213,0.275,0.000,0.000,0.000,0.275,0.021,0.259,1.024,0.021,0.006,0.008,0.006,0.020,0.039,0.570,0.020,0.016,0.333,121.459,19.740,
9,365.542,235.725,26.045,44.790,3.050,0.013,0.000,0.013,23.604,405.745,-40.203,190.937,150.734,0.543,0.276,0.206,0.212,0.197,0.000,0.000,0.000,0.197,0.008,0.194,0.698,0.008,0.000,0.003,0.004,0.008,0.017,0.390,0.007,0.003,0.305,111.502,38.177,
