catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,386.553,288.167,31.286,32.444,2.909,0.024,0.000,0.024,29.268,436.594,-50.041,233.415,183.374,0.660,0.356,0.261,0.270,0.469,0.000,0.000,0.000,0.469,0.030,0.428,0.940,0.027,0.016,0.007,0.004,0.018,0.032,0.405,0.026,0.041,0.581,212.172,46.323,2060.000
1,440.499,273.647,33.025,46.734,3.938,0.018,0.000,0.018,33.347,460.566,-20.067,221.654,201.587,0.726,0.376,0.285,0.302,0.319,0.000,0.000,0.000,0.319,0.023,0.282,0.674,0.022,0.010,0.007,0.004,0.021,0.034,0.397,0.021,0.038,0.423,154.279,43.989,2060.000
2,439.283,274.043,33.142,43.788,3.642,0.020,0.000,0.020,33.507,461.552,-22.269,221.975,199.706,0.719,0.378,0.286,0.300,0.380,0.000,0.000,0.000,0.380,0.028,0.337,0.787,0.026,0.012,0.009,0.005,0.026,0.041,0.507,0.025,0.044,0.490,178.910,46.927,2060.000
3,431.059,271.433,33.026,43.233,3.367,0.023,0.000,0.023,32.961,458.322,-27.263,219.860,192.597,0.693,0.360,0.285,0.289,0.645,0.000,0.000,0.000,0.645,0.045,0.582,1.291,0.042,0.017,0.014,0.011,0.040,0.067,1.105,0.042,0.063,0.548,200.047,-27.564,2060.000
4,400.352,279.195,32.284,33.918,2.674,0.028,0.000,0.028,30.879,446.038,-45.686,226.148,180.462,0.650,0.345,0.275,0.269,0.046,0.000,0.000,0.000,0.046,0.000,0.047,0.090,0.004,0.000,0.000,0.004,0.000,0.000,0.393,0.003,-0.001,0.680,248.283,230.086,2060.000
5,436.496,273.173,33.260,42.500,3.424,0.022,0.000,0.022,33.549,461.828,-25.332,221.270,195.939,0.705,0.372,0.288,0.294,0.681,0.000,0.000,0.000,0.681,0.041,0.626,1.310,0.037,0.017,0.012,0.009,0.044,0.058,0.860,0.037,0.055,0.535,195.423,-46.562,2060.000
6,437.459,273.272,32.969,46.627,3.975,0.018,0.000,0.018,33.211,459.753,-22.294,221.350,199.056,0.717,0.374,0.284,0.298,0.310,0.000,0.000,0.000,0.310,0.035,0.268,0.685,0.032,0.021,0.008,0.003,0.033,0.037,0.321,0.031,0.042,0.423,154.283,45.314,2060.000
7,438.026,273.563,33.068,45.029,3.773,0.019,0.000,0.019,33.370,460.714,-22.688,221.586,198.898,0.716,0.376,0.285,0.298,0.428,0.000,0.000,0.000,0.428,0.031,0.381,0.847,0.029,0.013,0.009,0.006,0.029,0.045,0.589,0.028,0.047,0.456,166.326,16.882,2060.000
8,438.653,273.606,33.087,44.717,3.725,0.019,0.000,0.019,33.412,460.971,-22.319,221.621,199.302,0.717,0.376,0.286,0.299,0.380,0.000,0.000,0.000,0.380,0.028,0.337,0.787,0.026,0.012,0.009,0.005,0.026,0.041,0.507,0.025,0.044,0.463,168.941,36.958,2060.000
9,436.469,272.381,32.819,46.459,4.085,0.018,0.000,0.018,32.903,457.924,-21.455,220.628,199.174,0.717,0.377,0.282,0.298,0.314,0.000,0.000,0.000,0.314,0.034,0.273,0.696,0.032,0.021,0.008,0.003,0.032,0.037,0.312,0.030,0.042,0.439,160.145,49.560,2060.000
