catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,271.482,186.592,13.405,36.534,2.983,0.022,0.000,0.022,4.453,316.975,-45.493,151.140,105.647,0.380,0.169,0.104,0.119,0.223,0.000,0.000,0.000,0.223,0.011,0.219,1.090,0.014,0.003,0.004,0.007,0.012,0.021,0.647,0.013,0.004,0.532,194.023,109.251,2001.507
1,312.015,180.935,18.706,42.825,2.634,0.009,0.000,0.009,-44.595,348.608,-36.593,146.557,109.964,0.396,0.185,0.136,0.138,0.175,0.000,0.000,0.000,0.175,0.005,0.178,0.802,0.007,0.000,0.002,0.006,0.005,0.009,0.566,0.007,-0.003,0.205,74.833,7.399,2001.507
2,310.369,177.981,18.156,42.324,2.514,0.011,0.000,0.011,11.828,344.307,-33.938,144.164,110.226,0.397,0.182,0.132,0.136,0.224,0.000,0.000,0.000,0.224,0.010,0.219,1.075,0.012,0.000,0.005,0.007,0.010,0.023,0.648,0.011,0.006,0.272,99.330,15.315,2001.507
3,304.378,176.100,17.784,40.266,2.406,0.012,0.000,0.012,11.100,340.929,-36.551,142.641,106.091,0.382,0.177,0.130,0.130,0.391,0.000,0.000,0.000,0.391,0.025,0.357,2.009,0.024,0.003,0.012,0.009,0.026,0.056,0.886,0.023,0.034,0.295,107.757,-30.987,2001.507
4,279.701,179.266,14.606,36.351,2.551,0.020,0.000,0.020,7.227,322.820,-43.119,145.205,102.086,0.368,0.166,0.110,0.118,0.544,0.007,0.032,0.007,0.551,0.038,0.498,3.045,0.026,0.004,0.016,0.005,0.037,0.076,0.543,0.025,0.046,0.483,176.334,-14.521,2001.507
5,308.037,176.306,17.877,41.414,2.417,0.012,0.000,0.012,11.506,342.810,-34.773,142.808,108.035,0.389,0.178,0.130,0.133,0.280,0.000,0.000,0.000,0.280,0.012,0.267,1.338,0.014,0.001,0.006,0.007,0.012,0.028,0.730,0.014,0.012,0.296,108.191,5.595,2001.507
6,311.776,180.579,18.690,42.899,2.686,0.009,0.000,0.009,-55.636,348.875,-37.099,146.269,109.170,0.393,0.185,0.136,0.137,0.143,0.000,0.000,0.000,0.143,0.003,0.147,0.670,0.006,0.000,0.001,0.005,0.003,0.005,0.525,0.006,-0.003,0.209,76.156,20.531,2001.507
7,311.235,179.050,18.427,42.699,2.576,0.010,0.000,0.010,12.009,345.165,-33.929,145.031,111.101,0.400,0.185,0.134,0.138,0.259,0.000,0.000,0.000,0.259,0.012,0.247,1.236,0.013,0.000,0.006,0.007,0.012,0.027,0.693,0.013,0.012,0.242,88.215,-6.727,2001.507
8,311.175,178.696,18.379,42.633,2.550,0.010,0.000,0.010,12.002,345.143,-33.968,144.743,110.775,0.399,0.184,0.134,0.138,0.224,0.000,0.000,0.000,0.224,0.010,0.219,1.075,0.012,0.000,0.005,0.007,0.010,0.023,0.648,0.011,0.006,0.249,90.930,6.915,2001.507
9,310.786,179.591,18.524,43.030,2.789,0.009,0.000,0.009,3.949,345.460,-34.674,145.469,110.795,0.399,0.188,0.135,0.138,0.143,0.000,0.000,0.000,0.143,0.003,0.145,0.661,0.006,0.000,0.001,0.005,0.004,0.006,0.511,0.006,-0.002,0.224,81.606,26.500,2001.507
10,302.400,177.241,17.240,41.700,2.632,0.014,0.000,0.014,10.668,338.772,-36.372,143.565,107.193,0.386,0.178,0.126,0.130,0.388,0.001,0.001,0.001,0.389,0.017,0.359,2.158,0.016,0.002,0.006,0.008,0.018,0.033,0.776,0.015,0.030,0.341,124.644,-11.865,2001.507
11,309.108,177.024,17.847,42.029,2.493,0.013,0.000,0.013,11.576,343.104,-33.996,143.389,109.393,0.394,0.179,0.130,0.134,0.166,0.000,0.000,0.000,0.166,0.004,0.168,0.805,0.006,0.000,0.001,0.005,0.004,0.006,0.474,0.005,-0.002,0.302,110.148,47.138,2001.507
12,282.197,171.611,13.808,39.881,2.440,0.025,0.001,0.024,7.040,322.290,-40.093,139.005,98.912,0.356,0.152,0.107,0.112,0.673,0.123,0.632,0.118,0.791,0.079,0.675,5.708,0.057,0.006,0.037,0.013,0.076,0.169,1.296,0.056,-0.003,0.591,215.857,-51.246,2001.507
13,300.684,175.293,16.849,40.113,2.318,0.015,0.000,0.015,10.354,337.412,-36.728,141.987,105.259,0.379,0.170,0.124,0.127,0.379,0.000,0.000,0.000,0.379,0.018,0.351,1.696,0.019,0.001,0.009,0.010,0.018,0.041,0.951,0.019,0.028,0.367,133.889,-0.909,2001.507
14,305.962,175.813,17.209,41.799,2.502,0.014,0.000,0.014,11.028,340.510,-34.547,142.408,107.861,0.388,0.175,0.126,0.131,0.348,0.000,0.000,0.000,0.348,0.028,0.313,1.980,0.026,0.006,0.012,0.008,0.024,0.058,0.769,0.025,0.035,0.343,125.107,1.703,2001.507
15,306.314,175.893,17.268,41.792,2.496,0.014,0.000,0.014,11.072,340.705,-34.391,142.473,108.082,0.389,0.176,0.126,0.131,0.348,0.000,0.000,0.000,0.348,0.028,0.313,1.980,0.026,0.006,0.012,0.008,0.024,0.058,0.769,0.025,0.035,0.339,123.859,0.455,2001.507
16,270.724,176.303,12.993,36.188,2.555,0.026,0.000,0.026,5.494,314.913,-44.190,142.805,98.616,0.355,0.155,0.101,0.110,0.899,0.215,1.535,0.208,1.107,0.115,0.942,5.680,0.086,0.015,0.056,0.014,0.112,0.245,1.435,0.085,-0.044,0.622,227.138,-148.018,2001.507
17,262.348,172.680,11.214,37.793,2.740,0.031,0.001,0.030,3.772,307.267,-44.919,139.871,94.952,0.342,0.144,0.091,0.102,0.576,0.000,0.000,0.000,0.576,0.033,0.533,2.914,0.023,0.002,0.015,0.006,0.034,0.071,0.637,0.022,0.044,0.741,270.431,67.961,2001.507
18,284.687,172.387,14.603,40.320,2.114,0.022,0.000,0.022,7.807,325.405,-40.718,139.634,98.916,0.356,0.151,0.109,0.114,0.483,0.032,0.150,0.032,0.515,0.035,0.463,3.480,0.024,0.003,0.015,0.007,0.036,0.071,0.670,0.023,0.021,0.533,194.390,17.036,2001.507
19,292.685,172.543,15.519,40.719,2.286,0.020,0.000,0.020,8.969,330.857,-38.172,139.760,101.588,0.366,0.160,0.115,0.120,0.727,0.119,0.840,0.117,0.844,0.077,0.718,5.170,0.058,0.005,0.037,0.016,0.077,0.164,1.585,0.058,0.009,0.474,173.058,-110.103,2001.507
20,303.455,179.180,17.667,42.988,3.171,0.011,0.000,0.011,10.888,339.740,-36.286,145.136,108.850,0.392,0.189,0.129,0.133,0.153,0.000,0.000,0.000,0.153,0.003,0.153,0.702,0.007,0.000,0.001,0.006,0.003,0.007,0.579,0.006,-0.000,0.267,97.454,39.277,2001.507
21,303.455,174.803,16.798,41.510,2.470,0.015,0.000,0.015,10.630,338.623,-35.167,141.590,106.423,0.383,0.172,0.123,0.128,0.228,0.000,0.000,0.000,0.228,0.008,0.223,1.093,0.010,0.000,0.003,0.006,0.008,0.018,0.613,0.009,0.005,0.369,134.681,50.062,2001.507
22,263.294,169.303,10.558,40.447,2.561,0.035,0.002,0.033,3.568,306.626,-43.332,137.136,93.804,0.338,0.133,0.089,0.099,0.385,1.615,44.592,0.561,0.946,0.163,0.721,6.950,0.132,0.044,0.069,0.019,0.144,0.290,1.848,0.130,-0.337,0.845,308.599,-2.178,2001.507
23,254.944,182.414,10.068,38.769,3.217,0.032,0.001,0.031,2.685,302.370,-47.426,147.755,100.330,0.361,0.148,0.085,0.104,0.673,0.123,0.632,0.118,0.791,0.079,0.675,5.708,0.057,0.006,0.037,0.013,0.076,0.169,1.296,0.056,-0.003,0.767,279.795,12.692,2001.507
24,251.295,180.585,8.976,40.000,3.063,0.037,0.002,0.035,1.779,298.464,-47.169,146.274,99.105,0.357,0.137,0.080,0.100,0.385,1.615,44.592,0.561,0.946,0.163,0.721,6.950,0.132,0.044,0.069,0.019,0.144,0.290,1.848,0.130,-0.337,0.877,320.090,9.313,2001.507
25,297.830,172.485,16.289,40.157,2.274,0.018,0.000,0.018,9.994,335.649,-37.819,139.713,101.893,0.367,0.163,0.120,0.122,0.715,0.008,0.036,0.008,0.722,0.063,0.632,4.516,0.044,0.004,0.031,0.009,0.064,0.139,0.876,0.042,0.083,0.430,157.079,-88.895,2001.507
26,300.964,174.315,16.359,41.772,2.528,0.016,0.000,0.016,10.187,336.510,-35.546,141.195,105.649,0.380,0.170,0.120,0.126,0.348,0.000,0.000,0.000,0.348,0.028,0.313,1.980,0.026,0.006,0.012,0.008,0.024,0.058,0.769,0.025,0.035,0.379,138.496,15.092,2001.507
27,284.979,170.404,14.505,39.225,2.124,0.025,0.000,0.024,7.787,325.435,-40.456,138.028,97.571,0.351,0.150,0.110,0.112,0.613,0.000,0.000,0.000,0.613,0.041,0.536,3.426,0.045,0.008,0.015,0.022,0.042,0.071,2.202,0.045,0.077,0.594,216.879,5.038,2001.507
28,294.448,172.108,16.018,39.355,2.090,0.021,0.000,0.021,9.426,332.885,-38.437,139.408,100.971,0.363,0.159,0.118,0.120,0.405,0.000,0.000,0.000,0.405,0.019,0.370,2.037,0.022,0.002,0.008,0.012,0.020,0.041,1.218,0.022,0.035,0.495,180.788,37.557,2001.507
29,293.193,175.801,16.084,42.095,2.702,0.017,0.000,0.017,9.288,332.234,-39.040,142.399,103.359,0.372,0.169,0.119,0.123,0.157,0.000,0.000,0.000,0.157,0.004,0.156,0.723,0.007,0.000,0.001,0.006,0.004,0.007,0.583,0.007,0.000,0.398,145.300,85.728,2001.507
30,288.923,166.247,15.337,39.186,1.953,0.023,0.000,0.023,8.459,328.347,-39.424,134.660,95.236,0.343,0.149,0.114,0.111,0.613,0.000,0.000,0.000,0.613,0.041,0.536,3.426,0.045,0.008,0.015,0.022,0.042,0.071,2.202,0.045,0.077,0.548,200.165,-11.677,2001.507
31,258.389,162.859,8.981,41.965,2.621,0.042,0.008,0.034,2.090,300.378,-41.988,131.915,89.927,0.324,0.121,0.082,0.091,0.246,0.831,22.091,0.339,0.585,0.052,0.473,3.694,0.035,0.004,0.024,0.008,0.052,0.106,0.788,0.034,-0.227,1.009,368.349,183.165,2001.507
32,272.125,166.053,12.539,40.352,2.113,0.027,0.000,0.027,5.460,314.727,-42.601,134.503,91.901,0.331,0.135,0.098,0.101,0.593,0.046,0.262,0.046,0.640,0.045,0.555,4.019,0.034,0.003,0.019,0.012,0.046,0.090,1.208,0.034,0.038,0.646,235.881,20.792,2001.507
33,264.966,164.912,10.680,41.025,2.367,0.036,0.003,0.032,3.702,307.178,-42.211,133.579,91.367,0.329,0.128,0.089,0.096,0.671,0.000,0.000,0.000,0.671,0.050,0.578,3.967,0.052,0.010,0.018,0.024,0.052,0.088,2.403,0.052,0.094,0.853,311.405,81.590,2001.507
34,304.205,175.608,16.879,49.256,3.332,0.010,0.000,0.010,10.643,338.512,-34.307,142.242,107.935,0.389,0.175,0.123,0.130,0.214,0.000,0.000,0.000,0.214,0.006,0.211,1.033,0.010,0.000,0.002,0.008,0.005,0.011,0.760,0.010,0.003,0.240,87.421,6.845,2001.507
35,304.082,176.179,16.929,48.840,3.383,0.010,0.000,0.010,10.647,338.531,-34.450,142.705,108.255,0.390,0.177,0.124,0.131,0.214,0.000,0.000,0.000,0.214,0.006,0.211,1.033,0.010,0.000,0.002,0.008,0.005,0.011,0.760,0.010,0.003,0.235,85.611,5.034,2001.507
36,296.746,173.529,16.173,45.718,2.966,0.014,0.000,0.014,9.661,333.917,-37.171,140.558,103.387,0.372,0.167,0.119,0.123,0.235,0.000,0.000,0.000,0.235,0.006,0.228,1.167,0.010,0.000,0.002,0.008,0.006,0.011,0.830,0.010,0.007,0.345,126.094,39.102,2001.507
