catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,363.764,286.869,28.810,42.195,2.981,0.041,0.000,0.041,19.382,390.163,-26.399,232.364,205.965,0.741,0.347,0.231,0.296,0.980,0.000,0.000,0.000,0.980,0.153,0.804,2.348,0.135,0.074,0.053,0.008,0.134,0.226,0.752,0.134,0.176,0.989,361.117,19.003,2001.500
1,388.911,274.935,29.718,58.606,3.974,0.058,0.000,0.058,-32.137,415.161,-26.249,222.697,196.448,0.707,0.326,0.242,0.286,0.864,0.000,0.000,0.000,0.864,0.176,0.672,2.016,0.161,0.099,0.056,0.006,0.146,0.236,0.632,0.160,0.192,1.391,507.780,204.359,2001.500
2,383.496,276.443,29.713,59.206,3.843,0.057,0.000,0.057,25.598,415.555,-32.060,223.919,191.859,0.691,0.317,0.242,0.279,1.049,0.000,0.000,0.000,1.049,0.269,0.757,2.479,0.250,0.169,0.074,0.007,0.185,0.309,0.713,0.249,0.292,1.362,497.279,130.129,2001.500
3,385.650,272.694,29.808,56.845,3.493,0.059,0.000,0.059,25.096,412.815,-27.165,220.882,193.717,0.697,0.316,0.243,0.282,1.021,0.000,0.000,0.000,1.021,0.109,0.893,2.091,0.097,0.034,0.051,0.012,0.090,0.221,1.150,0.096,0.128,1.421,518.671,157.527,2001.500
4,373.001,278.859,29.555,45.514,2.779,0.050,0.000,0.050,22.455,398.582,-25.582,225.876,200.294,0.721,0.333,0.240,0.290,0.070,0.000,0.000,0.000,0.070,0.004,0.065,0.139,0.007,0.001,0.002,0.004,0.003,0.009,0.430,0.006,0.005,1.195,436.089,410.074,2001.500
5,382.343,275.551,29.867,58.127,3.641,0.058,0.000,0.058,25.649,415.824,-33.480,223.196,189.715,0.683,0.314,0.244,0.276,1.051,0.000,0.000,0.000,1.051,0.109,0.920,2.062,0.094,0.043,0.042,0.009,0.095,0.184,0.912,0.094,0.131,1.402,511.583,141.657,2001.500
6,389.613,274.806,29.645,58.969,4.044,0.055,0.000,0.055,-43.523,415.178,-25.564,222.593,197.028,0.709,0.326,0.241,0.286,0.775,0.000,0.000,0.000,0.775,0.138,0.608,1.904,0.119,0.071,0.042,0.005,0.112,0.185,0.527,0.118,0.168,1.331,485.900,221.246,2001.500
7,386.609,275.578,29.685,59.161,3.921,0.056,0.000,0.056,25.412,414.531,-27.922,223.219,195.296,0.703,0.322,0.242,0.284,0.987,0.000,0.000,0.000,0.987,0.200,0.768,2.278,0.184,0.111,0.065,0.008,0.148,0.275,0.796,0.183,0.219,1.336,487.738,140.638,2001.500
8,385.785,275.771,29.694,59.204,3.889,0.056,0.000,0.056,25.490,414.945,-29.161,223.374,194.214,0.699,0.320,0.242,0.282,1.049,0.000,0.000,0.000,1.049,0.269,0.757,2.479,0.250,0.169,0.074,0.007,0.185,0.309,0.713,0.249,0.292,1.340,489.276,122.126,2001.500
9,389.557,274.810,29.496,59.716,4.168,0.052,0.000,0.052,15.826,413.152,-23.595,222.596,199.001,0.716,0.324,0.239,0.289,0.740,0.000,0.000,0.000,0.740,0.107,0.606,1.718,0.091,0.048,0.038,0.005,0.087,0.164,0.523,0.090,0.135,1.250,456.249,202.404,2001.500
