catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,309.303,230.574,22.976,28.254,2.638,0.008,0.000,0.008,12.871,357.267,-47.964,186.765,138.801,0.500,0.264,0.174,0.186,0.184,0.000,0.000,0.000,0.184,0.004,0.205,0.554,0.016,0.000,0.004,0.013,0.004,0.016,1.270,0.016,-0.021,0.201,73.491,-7.304,2001.500
1,358.297,219.524,26.617,45.370,2.550,0.011,0.000,0.011,-37.846,388.015,-29.718,177.815,148.097,0.533,0.252,0.207,0.208,0.191,0.000,0.000,0.000,0.191,0.064,0.143,0.450,0.075,0.052,0.011,0.012,0.037,0.046,1.173,0.075,0.048,0.263,96.003,16.379,2001.500
2,354.557,218.682,26.015,44.614,2.506,0.012,0.000,0.012,19.581,383.373,-28.816,177.133,148.317,0.534,0.250,0.201,0.207,0.213,0.000,0.000,0.000,0.213,0.057,0.179,0.534,0.072,0.047,0.012,0.013,0.033,0.049,1.263,0.071,0.034,0.284,103.830,12.539,2001.500
3,349.840,215.898,26.070,41.291,2.377,0.012,0.000,0.012,19.290,381.952,-32.112,174.877,142.765,0.514,0.248,0.202,0.200,0.231,0.000,0.000,0.000,0.231,0.012,0.237,0.707,0.024,0.002,0.007,0.015,0.012,0.032,1.485,0.023,-0.006,0.278,101.414,6.308,2001.500
4,320.537,222.284,24.039,30.870,2.323,0.010,0.000,0.010,15.880,364.695,-44.158,180.050,135.892,0.489,0.252,0.184,0.185,0.045,0.000,0.000,0.000,0.045,0.001,0.041,0.180,0.003,0.000,0.000,0.002,0.001,0.002,0.227,0.001,0.004,0.250,91.358,75.793,2001.500
5,352.281,217.420,25.946,42.989,2.421,0.012,0.000,0.012,19.427,382.603,-30.322,176.110,145.788,0.525,0.249,0.200,0.203,0.255,0.000,0.000,0.000,0.255,0.018,0.261,0.659,0.030,0.009,0.007,0.014,0.019,0.033,1.378,0.029,-0.006,0.291,106.174,0.159,2001.500
6,357.892,219.149,26.547,45.641,2.598,0.011,0.000,0.011,-49.142,387.971,-30.079,177.511,147.432,0.531,0.251,0.206,0.207,0.153,0.000,0.000,0.000,0.153,0.029,0.156,0.477,0.042,0.019,0.013,0.011,0.020,0.052,1.105,0.042,-0.003,0.258,94.313,22.008,2001.500
7,356.322,218.707,26.274,45.278,2.530,0.011,0.000,0.011,19.811,384.549,-28.227,177.152,148.925,0.536,0.251,0.203,0.209,0.221,0.000,0.000,0.000,0.221,0.038,0.203,0.624,0.050,0.026,0.011,0.013,0.023,0.046,1.295,0.049,0.018,0.272,99.126,6.993,2001.500
8,356.032,218.625,26.228,45.142,2.516,0.011,0.000,0.011,19.796,384.477,-28.446,177.086,148.640,0.535,0.250,0.203,0.208,0.213,0.000,0.000,0.000,0.213,0.057,0.179,0.534,0.072,0.047,0.012,0.013,0.033,0.049,1.263,0.071,0.034,0.275,100.237,8.946,2001.500
9,355.969,218.461,26.239,45.936,2.720,0.011,0.000,0.011,11.483,384.206,-28.237,176.953,148.716,0.535,0.254,0.203,0.208,0.152,0.000,0.000,0.000,0.152,0.025,0.157,0.461,0.035,0.013,0.011,0.011,0.019,0.047,1.069,0.035,-0.005,0.254,92.724,22.743,2001.500
10,349.086,218.161,25.611,43.190,2.641,0.013,0.000,0.013,18.832,379.553,-30.466,176.711,146.244,0.526,0.253,0.197,0.203,0.230,0.000,0.000,0.000,0.230,0.010,0.232,0.766,0.019,0.004,0.002,0.013,0.011,0.012,1.280,0.019,-0.002,0.310,113.007,21.425,2001.500
