,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,271.455,246.750,14.522,34.723,3.434,0.030,0.002,0.028,10.444,339.230,-67.775,199.867,132.092,0.476,0.217,0.118,0.157,0.611,0.164,4.757,0.164,0.775,0.141,0.638,4.725,0.141,0.046,0.066,0.029,0.118,0.276,2.846,0.141,-0.027,0.722,263.648,-20.477,
2015-2045_DJF,230.472,174.515,3.636,42.998,3.707,0.039,0.006,0.033,-0.253,289.551,-59.080,141.357,82.277,0.296,0.104,0.057,0.070,0.821,0.606,17.950,0.443,1.264,0.213,0.982,10.145,0.173,0.058,0.090,0.025,0.190,0.390,2.459,0.171,-0.162,0.945,345.098,-75.707,2030.005
2015-2045_MAM,270.583,267.980,14.004,41.961,3.874,0.058,0.000,0.058,10.265,337.162,-66.579,217.063,150.484,0.542,0.212,0.108,0.171,1.322,0.048,1.255,0.209,1.531,0.322,1.323,6.978,0.327,0.124,0.155,0.048,0.254,0.636,4.733,0.330,-0.000,1.400,511.028,-92.066,2030.000
2015-2045_JJA,318.789,312.651,24.591,23.985,3.071,0.010,0.000,0.010,20.781,389.545,-70.756,253.247,182.491,0.657,0.339,0.186,0.249,0.027,0.000,0.000,0.000,0.027,0.002,0.044,0.116,0.033,0.002,0.002,0.029,0.002,0.011,2.875,0.033,-0.017,0.246,89.765,61.667,2030.000
2015-2045_SON,265.118,230.281,15.660,30.057,3.086,0.012,0.000,0.012,10.781,339.709,-74.591,186.528,111.937,0.403,0.209,0.118,0.134,0.274,0.009,0.026,0.008,0.282,0.027,0.204,1.733,0.028,0.000,0.015,0.013,0.027,0.065,1.295,0.029,0.070,0.297,108.586,23.614,2030.000
2045-2075_annual,276.925,245.196,15.417,34.465,3.285,0.030,0.001,0.030,11.339,343.541,-66.615,198.609,131.994,0.475,0.219,0.123,0.159,0.624,0.082,1.554,0.088,0.712,0.118,0.594,4.274,0.118,0.038,0.055,0.025,0.104,0.231,2.463,0.118,0.030,0.732,267.088,7.413,
2045-2075_DJF,232.431,175.767,4.811,39.744,3.558,0.032,0.003,0.029,0.584,293.097,-60.665,142.371,81.706,0.294,0.113,0.062,0.073,0.697,0.312,6.074,0.305,1.002,0.120,0.900,8.559,0.100,0.019,0.058,0.023,0.115,0.257,2.235,0.100,-0.202,0.764,278.842,-86.193,2060.000
2045-2075_MAM,274.915,266.378,14.832,42.191,3.654,0.060,0.000,0.060,11.035,340.745,-65.830,215.766,149.936,0.540,0.214,0.112,0.174,1.335,0.013,0.190,0.048,1.383,0.268,1.211,6.214,0.268,0.095,0.132,0.041,0.231,0.545,4.046,0.268,0.125,1.451,529.722,-10.053,2060.000
2045-2075_JJA,326.963,309.520,25.316,25.101,2.975,0.015,0.000,0.015,21.735,394.657,-67.694,250.711,183.017,0.659,0.340,0.193,0.252,0.047,0.000,0.000,0.000,0.047,0.000,0.050,0.112,0.025,0.000,0.000,0.025,0.000,0.000,2.457,0.025,-0.003,0.361,131.882,104.496,2060.000
2045-2075_SON,272.486,227.591,16.516,30.885,2.953,0.014,0.000,0.014,11.800,344.705,-72.219,184.349,112.130,0.404,0.209,0.124,0.136,0.416,0.005,0.021,0.002,0.418,0.083,0.216,2.273,0.077,0.037,0.029,0.011,0.069,0.122,1.094,0.076,0.200,0.347,126.607,19.732,2060.000
2070-2100_annual,279.321,247.394,16.226,32.006,3.229,0.027,0.000,0.027,11.964,346.545,-67.224,200.389,133.165,0.479,0.229,0.128,0.163,0.570,0.047,0.501,0.047,0.617,0.088,0.530,3.578,0.088,0.026,0.040,0.021,0.077,0.172,2.099,0.088,0.039,0.651,237.506,11.905,
2070-2100_DJF,234.323,177.760,5.996,36.503,3.413,0.025,0.002,0.023,1.403,296.595,-62.272,143.986,81.714,0.294,0.122,0.066,0.075,0.716,0.179,1.981,0.179,0.895,0.110,0.771,7.130,0.092,0.028,0.045,0.019,0.098,0.200,1.898,0.092,-0.056,0.598,218.266,-96.876,2084.997
2070-2100_MAM,277.728,268.733,15.719,39.026,3.594,0.055,0.000,0.055,11.719,344.050,-66.322,217.674,151.351,0.545,0.227,0.118,0.179,1.194,0.008,0.030,0.008,1.202,0.190,1.080,5.069,0.189,0.063,0.092,0.034,0.166,0.387,3.334,0.190,0.114,1.319,481.498,18.084,2085.000
2070-2100_JJA,332.018,310.155,26.017,23.911,2.993,0.014,0.000,0.014,22.401,398.269,-66.251,251.225,184.975,0.666,0.350,0.200,0.257,0.051,0.000,0.000,0.000,0.051,0.001,0.053,0.125,0.022,0.000,0.001,0.022,0.001,0.003,2.151,0.022,-0.003,0.342,124.945,97.390,2085.000
2070-2100_SON,272.269,231.413,16.981,28.633,2.917,0.014,0.000,0.014,12.131,346.300,-74.030,187.444,113.414,0.408,0.216,0.127,0.139,0.319,0.004,0.015,0.004,0.322,0.049,0.217,2.039,0.047,0.014,0.023,0.010,0.043,0.097,0.999,0.047,0.101,0.339,123.706,27.089,2085.000
