catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,333.874,279.023,26.067,22.564,2.875,0.011,0.000,0.011,22.250,398.042,-64.168,226.008,161.840,0.583,0.325,0.204,0.225,0.119,0.000,0.000,0.000,0.119,0.002,0.114,0.278,0.004,0.000,0.001,0.003,0.002,0.004,0.320,0.003,0.005,0.271,98.894,56.196,2085.000
1,377.597,277.331,29.095,28.093,2.899,0.006,0.000,0.006,26.482,421.033,-43.436,224.638,181.201,0.652,0.356,0.236,0.262,0.129,0.000,0.000,0.000,0.129,0.005,0.122,0.296,0.007,0.001,0.003,0.004,0.006,0.013,0.357,0.006,0.007,0.152,55.487,8.966,2085.000
2,374.417,276.789,28.443,28.035,2.846,0.008,0.000,0.008,25.835,417.436,-43.019,224.199,181.180,0.652,0.350,0.229,0.260,0.155,0.000,0.000,0.000,0.155,0.007,0.146,0.358,0.008,0.001,0.003,0.004,0.007,0.017,0.429,0.007,0.009,0.193,70.455,14.331,2085.000
3,370.040,272.555,28.597,26.706,2.697,0.008,0.000,0.008,25.886,417.776,-47.736,220.770,173.034,0.623,0.339,0.231,0.249,0.318,0.000,0.000,0.000,0.318,0.026,0.290,0.758,0.025,0.007,0.010,0.008,0.022,0.047,0.829,0.025,0.028,0.203,74.268,-40.651,2085.000
4,344.145,272.699,27.036,22.972,2.569,0.012,0.000,0.012,23.602,405.353,-61.208,220.886,159.678,0.575,0.317,0.214,0.225,0.192,0.000,0.000,0.000,0.192,0.011,0.192,0.578,0.011,0.001,0.005,0.005,0.010,0.026,0.472,0.011,0.000,0.290,105.974,31.926,2085.000
5,372.400,275.063,28.418,27.368,2.748,0.009,0.000,0.009,25.800,417.269,-44.868,222.801,177.932,0.641,0.344,0.228,0.255,0.316,0.000,0.000,0.000,0.316,0.012,0.295,0.661,0.012,0.000,0.005,0.007,0.012,0.024,0.660,0.011,0.021,0.211,77.065,-34.408,2085.000
6,376.691,277.305,28.993,28.379,2.946,0.006,0.000,0.006,26.330,420.163,-43.472,224.617,181.145,0.652,0.357,0.235,0.261,0.112,0.000,0.000,0.000,0.112,0.002,0.109,0.256,0.004,0.000,0.001,0.003,0.002,0.005,0.320,0.003,0.003,0.154,56.146,15.272,2085.000
7,375.509,276.834,28.690,28.298,2.876,0.007,0.000,0.007,26.072,418.735,-43.225,224.235,181.010,0.652,0.352,0.231,0.260,0.175,0.000,0.000,0.000,0.175,0.008,0.165,0.402,0.010,0.001,0.004,0.005,0.008,0.020,0.483,0.009,0.010,0.174,63.574,0.078,2085.000
8,375.294,276.841,28.637,28.238,2.859,0.007,0.000,0.007,26.030,418.505,-43.211,224.241,181.030,0.652,0.351,0.231,0.260,0.155,0.000,0.000,0.000,0.155,0.007,0.146,0.358,0.008,0.001,0.003,0.004,0.007,0.017,0.429,0.007,0.009,0.178,65.031,8.907,2085.000
9,374.240,277.826,28.688,28.697,3.057,0.007,0.000,0.007,25.888,417.677,-43.437,225.039,181.602,0.654,0.359,0.231,0.261,0.115,0.000,0.000,0.000,0.115,0.002,0.112,0.260,0.004,0.000,0.001,0.003,0.002,0.005,0.314,0.003,0.003,0.163,59.520,17.613,2085.000
10,369.485,278.180,28.420,27.808,2.913,0.012,0.000,0.012,25.519,415.770,-46.285,225.326,179.041,0.645,0.350,0.229,0.256,0.478,0.000,0.000,0.000,0.478,0.036,0.431,1.293,0.033,0.007,0.016,0.009,0.033,0.072,0.920,0.033,0.047,0.296,108.197,-61.199,2085.000
11,373.008,276.732,28.161,27.932,2.855,0.009,0.000,0.009,25.521,415.712,-42.704,224.153,181.449,0.653,0.349,0.225,0.259,0.130,0.000,0.000,0.000,0.130,0.003,0.126,0.292,0.004,0.000,0.001,0.003,0.003,0.005,0.337,0.003,0.004,0.213,77.854,30.783,2085.000
12,346.786,271.347,26.150,25.443,2.600,0.015,0.000,0.015,22.856,401.645,-54.859,219.791,164.933,0.594,0.312,0.207,0.230,0.432,0.000,0.000,0.000,0.432,0.046,0.391,1.476,0.045,0.015,0.018,0.011,0.039,0.077,1.127,0.044,0.042,0.367,133.779,-25.041,2085.000
13,366.786,273.946,28.102,26.479,2.617,0.011,0.000,0.011,25.380,415.039,-48.253,221.897,173.643,0.625,0.334,0.225,0.248,0.438,0.000,0.000,0.000,0.438,0.020,0.406,0.939,0.019,0.000,0.010,0.009,0.020,0.045,0.933,0.019,0.032,0.264,96.390,-58.869,2085.000
14,371.048,276.507,27.756,27.793,2.884,0.010,0.000,0.010,25.046,413.132,-42.084,223.971,181.887,0.655,0.348,0.221,0.259,0.235,0.000,0.000,0.000,0.235,0.018,0.216,0.580,0.018,0.003,0.009,0.006,0.017,0.040,0.607,0.017,0.018,0.241,88.144,2.932,2085.000
15,371.259,276.527,27.794,27.792,2.875,0.010,0.000,0.010,25.098,413.414,-42.155,223.987,181.832,0.655,0.348,0.222,0.259,0.235,0.000,0.000,0.000,0.235,0.018,0.216,0.580,0.018,0.003,0.009,0.006,0.017,0.040,0.607,0.017,0.018,0.240,87.529,2.317,2085.000
16,333.013,271.640,25.931,22.243,2.530,0.015,0.000,0.015,22.119,397.391,-64.378,220.029,155.651,0.560,0.305,0.203,0.216,0.584,0.000,0.000,0.000,0.584,0.056,0.559,1.863,0.059,0.013,0.029,0.018,0.051,0.126,1.736,0.060,0.025,0.352,128.505,-97.329,2085.000
17,321.922,271.670,24.412,22.607,2.674,0.016,0.000,0.016,20.241,387.446,-65.523,220.053,154.530,0.556,0.299,0.189,0.210,0.190,0.000,0.000,0.000,0.190,0.009,0.185,0.534,0.010,0.001,0.005,0.004,0.009,0.022,0.406,0.009,0.005,0.387,141.185,70.510,2085.000
18,357.146,274.018,27.396,27.669,2.344,0.024,0.000,0.024,24.570,410.677,-53.531,221.955,168.424,0.606,0.311,0.218,0.238,0.337,0.000,0.000,0.000,0.337,0.029,0.307,1.095,0.028,0.008,0.012,0.007,0.026,0.054,0.740,0.027,0.029,0.582,212.304,90.139,2085.000
19,362.772,274.053,27.478,27.782,2.594,0.018,0.000,0.018,24.664,411.165,-48.393,221.983,173.590,0.625,0.326,0.219,0.246,0.896,0.000,0.000,0.000,0.896,0.109,0.786,2.652,0.105,0.042,0.043,0.020,0.088,0.183,1.953,0.105,0.110,0.439,160.201,-165.164,2085.000
20,368.006,281.152,28.456,28.671,3.422,0.010,0.000,0.010,25.140,413.591,-45.584,227.733,182.149,0.656,0.370,0.230,0.261,0.165,0.000,0.000,0.000,0.165,0.003,0.156,0.357,0.005,0.000,0.001,0.004,0.003,0.006,0.424,0.004,0.009,0.233,85.191,26.641,2085.000
21,371.405,275.736,27.827,27.528,2.818,0.011,0.000,0.011,25.170,413.900,-42.495,223.347,180.852,0.651,0.345,0.222,0.258,0.193,0.000,0.000,0.000,0.193,0.004,0.186,0.403,0.006,0.000,0.002,0.005,0.004,0.008,0.469,0.005,0.008,0.259,94.387,24.643,2085.000
22,325.497,271.880,23.891,25.396,2.615,0.021,0.000,0.021,20.084,387.017,-61.520,220.223,158.703,0.571,0.291,0.186,0.214,1.066,0.003,0.011,0.003,1.070,0.177,0.979,4.601,0.187,0.067,0.082,0.038,0.136,0.344,3.806,0.187,0.087,0.503,183.446,-242.279,2085.000
23,312.423,281.659,23.381,22.285,3.038,0.014,0.000,0.014,18.886,380.161,-67.738,228.144,160.406,0.577,0.312,0.178,0.215,0.432,0.000,0.000,0.000,0.432,0.046,0.391,1.476,0.045,0.015,0.018,0.011,0.039,0.077,1.127,0.044,0.042,0.345,125.771,-33.049,2085.000
24,307.383,280.832,22.337,23.272,2.930,0.017,0.000,0.017,17.884,375.022,-67.638,227.474,159.836,0.575,0.298,0.169,0.211,1.066,0.003,0.011,0.003,1.070,0.177,0.979,4.601,0.187,0.067,0.082,0.038,0.136,0.344,3.806,0.187,0.087,0.411,150.078,-275.646,2085.000
25,372.762,272.736,28.596,26.685,2.556,0.014,0.000,0.014,26.085,419.176,-46.415,220.916,174.502,0.628,0.333,0.232,0.250,0.277,0.000,0.000,0.000,0.277,0.020,0.280,0.898,0.023,0.004,0.011,0.009,0.017,0.045,0.876,0.022,-0.003,0.327,119.520,9.257,2085.000
26,370.308,275.340,27.577,27.765,2.863,0.011,0.000,0.011,24.858,412.172,-41.864,223.026,181.162,0.652,0.345,0.220,0.257,0.235,0.000,0.000,0.000,0.235,0.018,0.216,0.580,0.018,0.003,0.009,0.006,0.017,0.040,0.607,0.017,0.018,0.265,96.736,11.523,2085.000
27,358.889,270.528,27.679,26.279,2.328,0.021,0.000,0.021,24.848,412.522,-53.634,219.128,165.494,0.596,0.310,0.223,0.235,1.092,0.000,0.000,0.000,1.092,0.149,0.936,2.709,0.147,0.062,0.060,0.025,0.113,0.254,2.437,0.146,0.156,0.499,182.026,-213.116,2085.000
