catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,313.946,250.223,22.348,33.054,3.018,0.022,0.000,0.022,12.296,354.867,-40.921,202.681,161.760,0.582,0.285,0.174,0.217,0.404,0.000,0.000,0.000,0.404,0.043,0.365,1.118,0.043,0.019,0.015,0.008,0.038,0.067,0.771,0.042,0.039,0.531,193.654,45.149,
1,350.719,242.002,25.811,44.070,3.220,0.022,0.000,0.022,-37.898,383.938,-33.220,196.022,162.802,0.586,0.290,0.203,0.228,0.359,0.000,0.000,0.000,0.359,0.062,0.300,0.926,0.062,0.038,0.017,0.007,0.048,0.074,0.689,0.061,0.059,0.520,189.656,57.729,
2,347.303,241.380,25.321,44.012,3.135,0.023,0.000,0.023,18.969,380.769,-33.465,195.518,162.052,0.583,0.285,0.198,0.225,0.425,0.000,0.000,0.000,0.425,0.085,0.342,1.146,0.085,0.054,0.023,0.008,0.058,0.098,0.783,0.085,0.082,0.553,202.019,46.140,
3,344.698,238.453,25.298,41.803,2.933,0.024,0.000,0.024,18.515,378.515,-33.817,193.147,159.329,0.574,0.281,0.199,0.222,0.527,0.000,0.000,0.000,0.527,0.044,0.486,1.506,0.044,0.011,0.021,0.012,0.039,0.094,1.181,0.044,0.041,0.572,208.949,15.707,
4,323.074,242.637,23.389,34.499,2.705,0.024,0.000,0.024,15.217,361.976,-38.902,196.536,157.634,0.567,0.276,0.183,0.215,0.214,0.002,0.008,0.002,0.216,0.012,0.207,0.993,0.012,0.001,0.006,0.005,0.012,0.026,0.530,0.012,0.007,0.587,214.099,134.390,
5,345.574,240.071,25.251,42.963,3.006,0.024,0.000,0.024,18.831,380.119,-34.546,194.457,159.912,0.576,0.281,0.198,0.222,0.501,0.000,0.000,0.000,0.501,0.038,0.467,1.244,0.037,0.013,0.015,0.009,0.034,0.066,0.938,0.037,0.034,0.576,210.073,26.251,
6,350.671,241.752,25.748,44.322,3.271,0.021,0.000,0.021,-49.079,383.965,-33.294,195.819,162.525,0.585,0.290,0.202,0.228,0.301,0.000,0.000,0.000,0.301,0.043,0.262,0.833,0.043,0.022,0.014,0.006,0.034,0.061,0.612,0.042,0.040,0.506,184.555,73.725,
7,349.087,241.424,25.531,44.269,3.181,0.022,0.000,0.022,19.068,381.228,-32.140,195.554,163.413,0.588,0.288,0.200,0.228,0.440,0.000,0.000,0.000,0.440,0.064,0.378,1.211,0.064,0.034,0.021,0.009,0.048,0.091,0.862,0.064,0.061,0.528,192.609,31.279,
8,348.735,241.360,25.492,44.229,3.159,0.022,0.000,0.022,19.079,381.295,-32.560,195.501,162.941,0.587,0.287,0.200,0.227,0.425,0.000,0.000,0.000,0.425,0.085,0.342,1.146,0.085,0.054,0.023,0.008,0.058,0.098,0.783,0.085,0.082,0.533,194.575,38.696,
9,349.500,241.274,25.494,44.761,3.388,0.021,0.000,0.021,10.532,380.696,-31.196,195.432,164.237,0.591,0.291,0.200,0.229,0.295,0.000,0.000,0.000,0.295,0.034,0.264,0.785,0.034,0.015,0.013,0.006,0.028,0.055,0.598,0.033,0.031,0.492,179.596,71.015,
10,345.604,240.700,25.001,43.099,3.196,0.025,0.000,0.025,18.121,377.072,-31.468,194.967,163.499,0.589,0.286,0.197,0.227,0.556,0.000,0.000,0.000,0.556,0.022,0.537,1.631,0.022,0.002,0.009,0.011,0.023,0.043,1.127,0.022,0.019,0.612,223.349,19.402,
11,345.388,241.330,25.068,43.855,3.131,0.024,0.000,0.024,18.786,379.874,-34.487,195.477,160.990,0.580,0.283,0.196,0.223,0.297,0.000,0.000,0.000,0.297,0.030,0.271,0.808,0.029,0.013,0.011,0.006,0.023,0.048,0.560,0.029,0.026,0.575,209.767,100.458,
12,322.578,239.568,22.639,36.979,2.762,0.027,0.000,0.027,15.104,361.816,-39.238,194.050,154.812,0.557,0.267,0.178,0.209,0.465,0.032,0.165,0.032,0.496,0.041,0.458,2.406,0.041,0.006,0.019,0.016,0.038,0.086,1.596,0.041,0.007,0.655,238.979,56.830,
13,340.322,240.047,24.796,40.858,2.824,0.026,0.000,0.026,18.111,376.581,-36.258,194.438,158.180,0.569,0.277,0.195,0.219,0.641,0.000,0.000,0.000,0.641,0.039,0.605,1.591,0.039,0.009,0.017,0.013,0.036,0.078,1.297,0.039,0.036,0.616,224.846,-10.106,
14,342.129,241.244,24.629,43.635,3.148,0.025,0.000,0.025,18.421,378.085,-35.955,195.408,159.453,0.574,0.280,0.192,0.220,0.450,0.000,0.000,0.000,0.450,0.070,0.383,1.430,0.070,0.037,0.023,0.010,0.055,0.099,0.961,0.069,0.067,0.604,220.627,55.505,
15,342.416,241.265,24.673,43.626,3.139,0.025,0.000,0.025,18.454,378.243,-35.826,195.425,159.599,0.575,0.280,0.193,0.220,0.450,0.000,0.000,0.000,0.450,0.070,0.383,1.430,0.070,0.037,0.023,0.010,0.055,0.099,0.961,0.069,0.067,0.603,220.205,55.082,
16,313.207,242.439,22.232,32.036,2.636,0.026,0.000,0.026,13.608,354.038,-40.832,196.375,155.544,0.560,0.271,0.174,0.209,0.478,0.056,0.394,0.056,0.534,0.046,0.491,2.234,0.046,0.006,0.023,0.017,0.044,0.099,1.713,0.046,-0.013,0.621,226.783,30.977,
17,302.371,242.576,20.717,31.131,2.782,0.026,0.000,0.026,11.850,345.517,-43.146,196.486,153.340,0.552,0.266,0.162,0.202,0.266,0.000,0.000,0.000,0.266,0.017,0.252,1.043,0.017,0.004,0.007,0.006,0.015,0.032,0.628,0.016,0.014,0.620,226.267,128.496,
18,335.150,238.227,23.712,40.645,2.515,0.037,0.000,0.037,16.474,368.400,-33.249,192.964,159.714,0.575,0.265,0.187,0.219,0.359,0.008,0.037,0.008,0.367,0.022,0.348,1.589,0.022,0.005,0.009,0.009,0.021,0.041,0.869,0.022,0.011,0.882,322.069,187.190,
19,337.376,239.035,24.013,41.485,2.802,0.032,0.000,0.032,17.167,371.871,-34.496,193.619,159.123,0.573,0.272,0.189,0.219,0.821,0.031,0.213,0.031,0.852,0.062,0.793,3.045,0.062,0.007,0.031,0.024,0.061,0.139,2.351,0.062,0.028,0.758,276.706,-35.492,
20,347.306,240.711,24.997,44.665,3.779,0.021,0.000,0.021,17.688,375.889,-28.583,194.976,166.393,0.599,0.296,0.196,0.231,0.350,0.000,0.000,0.000,0.350,0.030,0.323,0.906,0.030,0.010,0.013,0.007,0.027,0.058,0.710,0.030,0.027,0.502,183.133,54.408,
21,341.402,240.802,24.591,42.931,3.064,0.026,0.000,0.026,18.359,377.861,-36.459,195.050,158.591,0.571,0.278,0.193,0.219,0.402,0.000,0.000,0.000,0.402,0.035,0.370,1.024,0.035,0.013,0.014,0.008,0.029,0.060,0.758,0.034,0.032,0.615,224.478,76.954,
22,304.040,241.613,20.196,33.995,2.742,0.030,0.001,0.029,11.933,346.344,-42.304,195.706,153.402,0.552,0.256,0.159,0.200,0.516,0.498,18.490,0.497,1.012,0.288,0.727,4.627,0.288,0.147,0.113,0.028,0.197,0.460,2.782,0.288,-0.211,0.716,261.432,-109.259,
23,293.150,253.136,19.677,30.172,3.159,0.023,0.000,0.023,10.573,339.208,-46.058,205.040,158.982,0.572,0.276,0.153,0.206,0.465,0.032,0.165,0.032,0.496,0.041,0.458,2.406,0.041,0.006,0.019,0.016,0.038,0.086,1.596,0.041,0.007,0.552,201.552,19.403,
24,288.524,252.330,18.644,30.847,3.034,0.026,0.000,0.025,9.687,335.054,-46.529,204.388,157.858,0.568,0.263,0.145,0.201,0.516,0.498,18.490,0.497,1.012,0.288,0.727,4.627,0.288,0.147,0.113,0.028,0.197,0.460,2.782,0.288,-0.211,0.612,223.432,-147.259,
25,342.802,238.669,25.060,40.270,2.748,0.027,0.000,0.027,18.529,378.955,-36.154,193.322,157.169,0.566,0.276,0.200,0.219,0.283,0.002,0.009,0.002,0.285,0.020,0.268,1.476,0.020,0.001,0.010,0.009,0.020,0.047,0.863,0.019,0.015,0.653,238.292,133.577,
26,339.709,240.580,24.296,43.128,3.107,0.026,0.000,0.026,18.032,376.205,-36.496,194.870,158.374,0.570,0.277,0.190,0.218,0.450,0.000,0.000,0.000,0.450,0.070,0.383,1.430,0.070,0.037,0.023,0.010,0.055,0.099,0.961,0.069,0.067,0.618,225.634,60.512,
27,333.901,237.512,23.951,37.613,2.480,0.033,0.000,0.032,16.609,369.353,-35.452,192.385,156.933,0.565,0.268,0.191,0.216,1.224,0.000,0.000,0.000,1.224,0.138,1.090,3.489,0.138,0.044,0.062,0.031,0.124,0.266,3.092,0.138,0.135,0.780,284.845,-163.212,
28,342.920,238.581,24.988,39.517,2.554,0.032,0.000,0.032,18.055,376.467,-33.547,193.250,159.703,0.575,0.275,0.199,0.222,0.772,0.000,0.000,0.000,0.772,0.043,0.733,1.983,0.043,0.007,0.019,0.017,0.042,0.088,1.674,0.043,0.040,0.773,282.142,-0.846,
29,342.407,238.721,24.417,42.903,3.240,0.030,0.000,0.030,16.986,372.244,-29.837,193.364,163.527,0.589,0.282,0.192,0.226,0.350,0.000,0.000,0.000,0.350,0.032,0.321,0.912,0.032,0.011,0.014,0.007,0.030,0.061,0.712,0.031,0.029,0.717,261.750,133.132,
30,342.051,234.731,24.756,39.029,2.360,0.037,0.000,0.037,17.470,373.504,-31.453,190.132,158.679,0.571,0.270,0.197,0.221,1.224,0.000,0.000,0.000,1.224,0.138,1.090,3.489,0.138,0.044,0.062,0.031,0.124,0.266,3.092,0.138,0.135,0.879,320.811,-127.246,
31,300.838,238.277,18.918,35.877,2.852,0.036,0.002,0.033,10.823,341.291,-40.453,193.004,152.551,0.549,0.246,0.151,0.195,0.298,0.239,7.626,0.239,0.536,0.096,0.443,2.400,0.096,0.036,0.044,0.016,0.073,0.184,1.564,0.096,-0.146,0.861,314.284,117.428,
32,322.569,235.287,22.070,39.482,2.459,0.038,0.000,0.038,14.403,358.139,-35.569,190.582,155.013,0.558,0.252,0.173,0.208,0.686,0.013,0.068,0.013,0.698,0.042,0.660,2.454,0.042,0.004,0.019,0.018,0.041,0.089,1.818,0.042,0.026,0.910,332.073,76.044,
33,311.105,237.331,20.480,37.024,2.652,0.036,0.001,0.036,12.535,349.275,-38.170,192.238,154.068,0.555,0.250,0.162,0.202,1.309,0.000,0.000,0.000,1.309,0.146,1.166,3.779,0.146,0.046,0.067,0.034,0.132,0.284,3.380,0.146,0.143,0.875,319.534,-159.306,
34,345.829,237.046,23.876,49.645,4.356,0.023,0.000,0.023,17.507,373.146,-27.317,192.008,164.691,0.593,0.286,0.184,0.225,0.490,0.000,0.000,0.000,0.490,0.061,0.432,1.279,0.061,0.032,0.020,0.009,0.045,0.085,0.937,0.060,0.058,0.547,199.680,20.071,
35,345.523,237.473,23.909,49.344,4.393,0.022,0.000,0.022,17.499,373.101,-27.579,192.353,164.775,0.593,0.288,0.184,0.225,0.490,0.000,0.000,0.000,0.490,0.061,0.432,1.279,0.061,0.032,0.020,0.009,0.045,0.085,0.937,0.060,0.058,0.533,194.387,14.778,
36,343.348,236.137,24.023,46.316,3.720,0.029,0.000,0.029,17.259,372.073,-28.725,191.271,162.545,0.585,0.280,0.187,0.223,0.558,0.000,0.000,0.000,0.558,0.070,0.491,1.451,0.070,0.037,0.021,0.011,0.053,0.093,1.056,0.069,0.067,0.685,250.138,45.754,
